dataset,ratio,seed,lambda,model,nmse_db,psnr,ssim
fashionmnist,0.5,43,0.01,FISTA,-3.073740649064176,10.659982380824049,0.31786567676748917
fashionmnist,0.5,43,0.01,StepThresholdISTA,-3.1403356114754937,10.67338765365957,0.3250142027090083
fashionmnist,0.5,43,0.01,LISTA-L2,-17.443232526301628,25.761369094871792,0.890612834262809
fashionmnist,0.5,43,0.01,ALISTA,-2.8786320631138986,10.096719523718324,0.30350008810249396
fashionmnist,0.5,43,0.01,HyperLISTA,-3.051182894342025,10.40364438298756,0.32479046722465077
fashionmnist,0.5,44,0.01,ISTA,-3.0412761523946807,10.6285858108797,0.3046925196296833
fashionmnist,0.5,44,0.01,FISTA,-3.2124630187777354,10.805716637421298,0.3279680884980369
fashionmnist,0.5,44,0.01,StepThresholdISTA,-3.233593051990564,10.879770647848769,0.33204006459690955
fashionmnist,0.5,44,0.01,LISTA-L2,-17.45804157948485,25.756901491033943,0.8885536289061925
fashionmnist,0.5,44,0.01,ALISTA,-2.9236880569833072,10.166957959563257,0.3076000410874582
fashionmnist,0.5,44,0.01,HyperLISTA,-3.158727259657879,10.526382995240414,0.3323919226549636
